ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1607-40412015000200007-mex","La evaluación del impacto científico en las investigaciones educativas a través de un estudio de caso","Ortiz Torres, Emilio Alberto","Revista electrónica de investigación educativa; 17(2); 89-100","Revista electrónica de investigación educativa","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1607-40412015000200007&lang=pt" 
"S0103-37862014000300253-scl","Visibilidad de los estudios en análisis de redes sociales en América del Sur: su evolución y métricas de 1990-2013","Pinto, Adilson Luiz, Gonzales-Aguilar, Audilio","Transinformação; 26(3); 253-267","Transinformação","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862014000300253&lang=pt" 
"S0102-33062014000400003-scl","Plant functional groups: scientometric analysis focused on removal experimentsPlant functional groups: scientometric analysis focused on removal experiments","Morais, Joicy Martins, Cianciaruso, Marcus Vinicius","Acta Botanica Brasilica; 28(4); 502-511","Acta Botanica Brasilica","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062014000400003&lang=pt" 
"S0001-37652014000401873-scl","Diversity patterns, research trends and mismatches of the investigative efforts to amphibian conservation in Brazil","CAMPOS, FELIPE S., BRITO, DANIEL, SOLÉ, MIRCO","Anais da Academia Brasileira de Ciências; 86(4); 1873-1886","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000401873&lang=pt" 
"S1413-99362014000300006-scl","Atividades administrativas e produção científica dos docentes: reflexos em Programas Brasileiros de Pós-Graduação em Física","Correia, Anna Elizabeth Galvão Coutinho, Alvarenga, Lídia, Garcia, Joana Coeli Ribeiro","Perspectivas em Ciência da Informação; 19(3); 98-117","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300006&lang=pt" 
"S1413-99362014000300007-scl","Indicadores cientométricos normalizados: um estudo na produção científica brasileira internacional (1996 a 2011)","Grácio, Maria Cláudia Cabrini, Oliveira, Ely Francina Tannuri de","Perspectivas em Ciência da Informação; 19(3); 118-133","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300007&lang=pt" 
"S1413-99362014000300004-scl","Como construir indicadores de Ciência, Tecnologia e Inovação usando Web of Science, Derwent World Patent Index, Bibexcel e Pajek?","Ruas, Terry Lima, Pereira, Luciana","Perspectivas em Ciência da Informação; 19(3); 52-81","Perspectivas em Ciência da Informação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362014000300004&lang=pt" 
"S0001-37652014000301373-scl","The scientific literature on Limnoperna fortunei (Dunker 1857) from 1982 to 2012","BARBOSA, FABIANA G.","Anais da Academia Brasileira de Ciências; 86(3); 1373-1384","Anais da Academia Brasileira de Ciências","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000301373&lang=pt" 
"S1025-028X2014000200002-cub","Estudio bibliométrico de la producción científica de VacciMonitor (2000-2013)","Arencibia-Arrebola, Daniel Francisco, Betancourt-López, Virginia, González-Alfalla, Norka, Puig-Fernández, Yamira, Biart-La Rosa, Orquídea, Fernández-Sanguinety, Danilo Felipe, Ochoa-Azze, Rolando Felipe","Vaccimonitor; 23(2); 41-48","Vaccimonitor","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-028X2014000200002&lang=pt" 
"S0103-636X2014000200744-scl","Producción Científica sobre Narrativa en Educación Matemática en la Web of Science","Bracho, Rafael, Jiménez-Fanjul, Noelia, Maz-Machado, Alexander, Torralbo-Rodríguez, Manuel, Fernández-Cano, Antonio","Bolema: Boletim de Educação Matemática; 28(49); 744-761","Bolema: Boletim de Educação Matemática","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-636X2014000200744&lang=pt" 
